doctor_id,doctor_name,area,disease,specialization,experience_years,rating,consultation_fee
43,Dr. Sneha Deshmukh,Mumbai,Dengue,Infectious Disease,2,4.9,277
44,Dr. Vikas Joshi,Mumbai,Dengue,Infectious Disease,11,4.8,717
45,Dr. Priya Kulkarni,Mumbai,Dengue,Infectious Disease,11,4.6,288
46,Dr. Vikas Shinde,Mumbai,Dengue,Infectious Disease,34,4.7,210
47,Dr. Kiran Kulkarni,Mumbai,Dengue,Infectious Disease,26,3.8,637
48,Dr. Anil Deshmukh,Mumbai,Dengue,Infectious Disease,31,4.7,1490
49,Dr. Priya Shinde,Mumbai,Dengue,Infectious Disease,11,3.9,247
50,Dr. Priya Jadhav,Mumbai,Dengue,Infectious Disease,20,4.1,1364
51,Dr. Priya Jadhav,Mumbai,Typhoid,General Physician,15,4.5,1059
52,Dr. Amit Patil,Mumbai,Typhoid,General Physician,24,4.4,311
53,Dr. Anil Joshi,Mumbai,Typhoid,General Physician,16,4.0,382
54,Dr. Amit Patil,Mumbai,Typhoid,General Physician,14,4.2,983
55,Dr. Neha Patil,Mumbai,Typhoid,General Physician,34,3.9,525
56,Dr. Amit Deshmukh,Mumbai,Typhoid,General Physician,18,3.8,1006
57,Dr. Neha Shinde,Mumbai,Typhoid,General Physician,13,4.7,1460
58,Dr. Rohit Patil,Mumbai,Typhoid,General Physician,9,4.8,1074
59,Dr. Rohit Shinde,Mumbai,Typhoid,General Physician,9,4.2,334
60,Dr. Kiran Sharma,Mumbai,Typhoid,General Physician,28,4.9,636
61,Dr. Priya Jadhav,Mumbai,Asthma,Pulmonologist,2,4.6,964
62,Dr. Amit Joshi,Mumbai,Asthma,Pulmonologist,7,4.9,683
63,Dr. Neha Sharma,Mumbai,Asthma,Pulmonologist,35,3.9,879
64,Dr. Rahul Kulkarni,Mumbai,Asthma,Pulmonologist,5,4.9,304
65,Dr. Pooja Joshi,Mumbai,Asthma,Pulmonologist,16,3.6,410
66,Dr. Rahul Joshi,Mumbai,Asthma,Pulmonologist,4,4.9,325
67,Dr. Rohit Shinde,Mumbai,Asthma,Pulmonologist,31,4.0,564
68,Dr. Rohit Shinde,Mumbai,Asthma,Pulmonologist,22,4.7,1500
69,Dr. Pooja Joshi,Mumbai,Asthma,Pulmonologist,33,4.6,355
70,Dr. Anil Jadhav,Mumbai,Asthma,Pulmonologist,19,4.8,1438
71,Dr. Vikas Gupta,Mumbai,Diabetes,Endocrinologist,9,4.9,1426
72,Dr. Anil Gupta,Mumbai,Diabetes,Endocrinologist,10,3.9,494
73,Dr. Rohit Kulkarni,Mumbai,Diabetes,Endocrinologist,31,3.6,1103
74,Dr. Rahul Sharma,Mumbai,Diabetes,Endocrinologist,7,4.0,1393
75,Dr. Rohit Joshi,Mumbai,Diabetes,Endocrinologist,27,4.5,1258
76,Dr. Vikas Patil,Mumbai,Diabetes,Endocrinologist,30,4.1,349
77,Dr. Amit Joshi,Mumbai,Diabetes,Endocrinologist,27,4.6,1334
78,Dr. Rohit Patil,Mumbai,Diabetes,Endocrinologist,33,3.6,1446
79,Dr. Rohit Deshmukh,Mumbai,Diabetes,Endocrinologist,33,4.8,467
80,Dr. Pooja Deshmukh,Mumbai,Diabetes,Endocrinologist,6,3.7,229
81,Dr. Pooja Joshi,Mumbai,Migraine,Neurologist,6,4.1,453
82,Dr. Kiran Patil,Mumbai,Migraine,Neurologist,4,3.8,1367
83,Dr. Rohit Jadhav,Mumbai,Migraine,Neurologist,9,4.0,482
84,Dr. Priya Deshmukh,Mumbai,Migraine,Neurologist,10,3.7,248
85,Dr. Neha Sharma,Mumbai,Migraine,Neurologist,9,4.5,1413
86,Dr. Vikas Deshmukh,Mumbai,Migraine,Neurologist,27,3.6,1408
87,Dr. Vikas Sharma,Mumbai,Migraine,Neurologist,23,3.7,983
88,Dr. Sneha Gupta,Mumbai,Migraine,Neurologist,19,4.2,832
89,Dr. Sneha Deshmukh,Mumbai,Migraine,Neurologist,12,3.6,285
90,Dr. Rohit Jadhav,Mumbai,Migraine,Neurologist,25,4.5,1154
91,Dr. Vikas Sharma,Mumbai,Food Poisoning,Gastroenterologist,13,3.8,369
92,Dr. Rohit Deshmukh,Mumbai,Food Poisoning,Gastroenterologist,2,3.8,1069
93,Dr. Amit Patil,Mumbai,Food Poisoning,Gastroenterologist,18,4.1,1468
94,Dr. Vikas Deshmukh,Mumbai,Food Poisoning,Gastroenterologist,22,4.3,900
95,Dr. Priya Sharma,Mumbai,Food Poisoning,Gastroenterologist,20,4.7,1068
96,Dr. Rahul Gupta,Mumbai,Food Poisoning,Gastroenterologist,12,4.6,464
97,Dr. Sneha Jadhav,Mumbai,Food Poisoning,Gastroenterologist,12,4.2,522
98,Dr. Sneha Patil,Mumbai,Food Poisoning,Gastroenterologist,19,4.4,1309
99,Dr. Vikas Shinde,Mumbai,Food Poisoning,Gastroenterologist,13,4.8,861
100,Dr. Rahul Deshmukh,Mumbai,Food Poisoning,Gastroenterologist,34,4.1,895
101,Dr. Neha Jadhav,Mumbai,Jaundice,Hepatologist,33,4.9,242
102,Dr. Rahul Kulkarni,Mumbai,Jaundice,Hepatologist,31,4.3,225
103,Dr. Vikas Gupta,Mumbai,Jaundice,Hepatologist,31,3.7,1147
104,Dr. Rahul Gupta,Mumbai,Jaundice,Hepatologist,15,4.5,1267
105,Dr. Anil Jadhav,Mumbai,Jaundice,Hepatologist,32,4.0,995
106,Dr. Sneha Kulkarni,Mumbai,Jaundice,Hepatologist,25,4.3,473
107,Dr. Kiran Sharma,Mumbai,Jaundice,Hepatologist,3,4.9,1490
108,Dr. Sneha Patil,Mumbai,Jaundice,Hepatologist,25,4.8,801
109,Dr. Amit Joshi,Mumbai,Jaundice,Hepatologist,4,4.5,670
110,Dr. Vikas Kulkarni,Mumbai,Jaundice,Hepatologist,22,3.8,235
111,Dr. Kiran Sharma,Mumbai,Chickenpox,Dermatologist,16,3.5,278
112,Dr. Rahul Jadhav,Mumbai,Chickenpox,Dermatologist,21,4.7,897
113,Dr. Vikas Patil,Mumbai,Chickenpox,Dermatologist,29,3.7,306
114,Dr. Rohit Shinde,Mumbai,Chickenpox,Dermatologist,26,5.0,1086
115,Dr. Vikas Joshi,Mumbai,Chickenpox,Dermatologist,3,4.5,603
116,Dr. Sneha Sharma,Mumbai,Chickenpox,Dermatologist,15,4.7,237
117,Dr. Anil Kulkarni,Mumbai,Chickenpox,Dermatologist,34,4.7,1276
118,Dr. Kiran Sharma,Mumbai,Chickenpox,Dermatologist,21,5.0,1220
119,Dr. Rahul Joshi,Mumbai,Chickenpox,Dermatologist,35,4.5,307
120,Dr. Neha Sharma,Mumbai,Chickenpox,Dermatologist,1,4.3,932
121,Dr. Neha Sharma,Mumbai,Measles,Pediatrician,14,4.5,399
122,Dr. Pooja Shinde,Mumbai,Measles,Pediatrician,14,4.6,513
123,Dr. Kiran Gupta,Mumbai,Measles,Pediatrician,3,3.7,526
124,Dr. Kiran Sharma,Mumbai,Measles,Pediatrician,9,4.0,496
125,Dr. Anil Joshi,Mumbai,Measles,Pediatrician,5,3.7,1030
126,Dr. Amit Sharma,Mumbai,Measles,Pediatrician,8,5.0,1297
127,Dr. Sneha Joshi,Mumbai,Measles,Pediatrician,27,4.7,1317
128,Dr. Sneha Deshmukh,Mumbai,Measles,Pediatrician,5,3.9,1113
129,Dr. Amit Sharma,Mumbai,Measles,Pediatrician,22,3.9,821
130,Dr. Amit Kulkarni,Mumbai,Measles,Pediatrician,6,4.3,324
131,Dr. Rohit Gupta,Mumbai,Arthritis,Orthopedic,19,4.2,233
132,Dr. Anil Jadhav,Mumbai,Arthritis,Orthopedic,27,3.6,342
133,Dr. Rahul Gupta,Mumbai,Arthritis,Orthopedic,4,4.2,1315
134,Dr. Kiran Deshmukh,Mumbai,Arthritis,Orthopedic,7,3.9,1052
135,Dr. Neha Joshi,Mumbai,Arthritis,Orthopedic,6,4.8,1111
136,Dr. Priya Deshmukh,Mumbai,Arthritis,Orthopedic,20,3.5,1143
137,Dr. Sneha Patil,Mumbai,Arthritis,Orthopedic,32,4.2,1465
138,Dr. Sneha Shinde,Mumbai,Arthritis,Orthopedic,10,4.2,405
139,Dr. Kiran Shinde,Mumbai,Arthritis,Orthopedic,9,3.7,725
140,Dr. Amit Sharma,Mumbai,Arthritis,Orthopedic,14,4.1,1072
141,Dr. Sneha Joshi,Pune,Flu,General Physician,30,4.8,303
142,Dr. Vikas Joshi,Pune,Flu,General Physician,34,4.8,672
143,Dr. Amit Jadhav,Pune,Flu,General Physician,5,4.5,437
144,Dr. Anil Sharma,Pune,Flu,General Physician,26,4.9,1107
145,Dr. Anil Jadhav,Pune,Flu,General Physician,20,3.7,888
146,Dr. Priya Shinde,Pune,Flu,General Physician,33,4.3,914
147,Dr. Rahul Sharma,Pune,Flu,General Physician,7,4.0,625
148,Dr. Neha Jadhav,Pune,Flu,General Physician,34,4.6,745
149,Dr. Priya Kulkarni,Pune,Flu,General Physician,9,4.3,756
150,Dr. Amit Jadhav,Pune,Flu,General Physician,30,3.5,994
151,Dr. Vikas Patil,Pune,Cold,General Physician,18,4.6,671
152,Dr. Sneha Patil,Pune,Cold,General Physician,9,3.8,565
153,Dr. Vikas Deshmukh,Pune,Cold,General Physician,8,4.0,1093
154,Dr. Anil Jadhav,Pune,Cold,General Physician,25,3.6,1238
155,Dr. Amit Patil,Pune,Cold,General Physician,13,4.0,885
156,Dr. Pooja Sharma,Pune,Cold,General Physician,5,4.6,214
157,Dr. Vikas Kulkarni,Pune,Cold,General Physician,32,4.6,1269
158,Dr. Amit Joshi,Pune,Cold,General Physician,26,4.1,923
159,Dr. Rahul Jadhav,Pune,Cold,General Physician,31,4.7,1023
160,Dr. Kiran Kulkarni,Pune,Cold,General Physician,31,4.4,739
161,Dr. Amit Kulkarni,Pune,COVID-19,Pulmonologist,26,3.8,887
162,Dr. Anil Kulkarni,Pune,COVID-19,Pulmonologist,6,4.5,281
163,Dr. Amit Patil,Pune,COVID-19,Pulmonologist,30,3.7,1372
164,Dr. Pooja Patil,Pune,COVID-19,Pulmonologist,13,4.1,857
165,Dr. Neha Deshmukh,Pune,COVID-19,Pulmonologist,19,3.7,1203
166,Dr. Kiran Gupta,Pune,COVID-19,Pulmonologist,2,3.8,1117
167,Dr. Amit Jadhav,Pune,COVID-19,Pulmonologist,8,3.5,645
168,Dr. Vikas Sharma,Pune,COVID-19,Pulmonologist,4,4.4,1218
169,Dr. Amit Jadhav,Pune,COVID-19,Pulmonologist,3,4.7,1332
170,Dr. Sneha Patil,Pune,COVID-19,Pulmonologist,34,3.7,1338
171,Dr. Anil Deshmukh,Pune,Malaria,Infectious Disease,27,4.1,1194
172,Dr. Anil Kulkarni,Pune,Malaria,Infectious Disease,2,4.1,891
173,Dr. Sneha Patil,Pune,Malaria,Infectious Disease,6,4.7,200
174,Dr. Pooja Joshi,Pune,Malaria,Infectious Disease,13,4.8,1317
175,Dr. Sneha Gupta,Pune,Malaria,Infectious Disease,19,4.1,533
176,Dr. Priya Sharma,Pune,Malaria,Infectious Disease,18,4.9,1135
177,Dr. Anil Shinde,Pune,Malaria,Infectious Disease,19,3.6,1475
178,Dr. Priya Shinde,Pune,Malaria,Infectious Disease,19,4.6,464
179,Dr. Vikas Shinde,Pune,Malaria,Infectious Disease,11,4.7,453
180,Dr. Priya Jadhav,Pune,Malaria,Infectious Disease,12,4.7,208
181,Dr. Sneha Deshmukh,Pune,Dengue,Infectious Disease,4,3.6,342
182,Dr. Pooja Jadhav,Pune,Dengue,Infectious Disease,12,3.6,730
183,Dr. Amit Sharma,Pune,Dengue,Infectious Disease,19,4.0,295
184,Dr. Anil Shinde,Pune,Dengue,Infectious Disease,7,4.4,316
185,Dr. Kiran Deshmukh,Pune,Dengue,Infectious Disease,14,4.8,1193
186,Dr. Neha Sharma,Pune,Dengue,Infectious Disease,32,4.8,657
187,Dr. Amit Jadhav,Pune,Dengue,Infectious Disease,2,3.7,428
188,Dr. Pooja Sharma,Pune,Dengue,Infectious Disease,23,4.5,1453
189,Dr. Anil Deshmukh,Pune,Dengue,Infectious Disease,22,3.6,1153
190,Dr. Amit Shinde,Pune,Dengue,Infectious Disease,24,3.7,625
191,Dr. Sneha Gupta,Pune,Typhoid,General Physician,3,4.3,551
192,Dr. Vikas Sharma,Pune,Typhoid,General Physician,30,3.9,865
193,Dr. Anil Kulkarni,Pune,Typhoid,General Physician,25,4.7,569
194,Dr. Sneha Deshmukh,Pune,Typhoid,General Physician,9,3.5,1493
195,Dr. Kiran Shinde,Pune,Typhoid,General Physician,23,3.7,543
196,Dr. Anil Jadhav,Pune,Typhoid,General Physician,15,4.6,913
197,Dr. Amit Gupta,Pune,Typhoid,General Physician,31,4.5,898
198,Dr. Priya Kulkarni,Pune,Typhoid,General Physician,29,3.9,1309
199,Dr. Rahul Patil,Pune,Typhoid,General Physician,29,4.7,650
200,Dr. Sneha Shinde,Pune,Typhoid,General Physician,21,4.7,901
201,Dr. Amit Sharma,Pune,Asthma,Pulmonologist,32,4.0,928
202,Dr. Vikas Joshi,Pune,Asthma,Pulmonologist,32,4.6,372
203,Dr. Anil Gupta,Pune,Asthma,Pulmonologist,5,3.8,1095
204,Dr. Rohit Joshi,Pune,Asthma,Pulmonologist,7,3.6,728
205,Dr. Amit Sharma,Pune,Asthma,Pulmonologist,12,3.9,809
206,Dr. Neha Jadhav,Pune,Asthma,Pulmonologist,21,3.7,470
207,Dr. Amit Patil,Pune,Asthma,Pulmonologist,18,3.9,333
208,Dr. Priya Gupta,Pune,Asthma,Pulmonologist,23,3.7,484
209,Dr. Anil Gupta,Pune,Asthma,Pulmonologist,29,3.9,1253
210,Dr. Amit Gupta,Pune,Asthma,Pulmonologist,19,4.7,1492
211,Dr. Rohit Patil,Pune,Diabetes,Endocrinologist,18,4.3,565
212,Dr. Rahul Patil,Pune,Diabetes,Endocrinologist,24,4.5,639
213,Dr. Sneha Shinde,Pune,Diabetes,Endocrinologist,10,3.7,1069
214,Dr. Anil Kulkarni,Pune,Diabetes,Endocrinologist,22,4.4,1320
215,Dr. Kiran Joshi,Pune,Diabetes,Endocrinologist,18,4.6,1166
216,Dr. Sneha Joshi,Pune,Diabetes,Endocrinologist,24,4.0,618
217,Dr. Neha Deshmukh,Pune,Diabetes,Endocrinologist,2,4.9,286
218,Dr. Sneha Jadhav,Pune,Diabetes,Endocrinologist,31,4.1,1420
219,Dr. Amit Sharma,Pune,Diabetes,Endocrinologist,15,4.7,1113
220,Dr. Pooja Patil,Pune,Diabetes,Endocrinologist,15,4.6,1397
221,Dr. Rohit Patil,Pune,Migraine,Neurologist,10,4.2,1218
222,Dr. Rohit Gupta,Pune,Migraine,Neurologist,16,4.2,784
223,Dr. Kiran Deshmukh,Pune,Migraine,Neurologist,18,4.9,1310
224,Dr. Rohit Sharma,Pune,Migraine,Neurologist,6,4.1,1436
225,Dr. Sneha Kulkarni,Pune,Migraine,Neurologist,30,4.8,853
226,Dr. Amit Patil,Pune,Migraine,Neurologist,20,3.9,1184
227,Dr. Sneha Jadhav,Pune,Migraine,Neurologist,15,4.8,669
228,Dr. Rahul Deshmukh,Pune,Migraine,Neurologist,24,4.4,1014
229,Dr. Amit Gupta,Pune,Migraine,Neurologist,12,4.3,226
230,Dr. Rohit Jadhav,Pune,Migraine,Neurologist,29,4.5,718
231,Dr. Neha Kulkarni,Pune,Food Poisoning,Gastroenterologist,30,4.1,852
232,Dr. Rohit Deshmukh,Pune,Food Poisoning,Gastroenterologist,3,3.6,1100
233,Dr. Rahul Shinde,Pune,Food Poisoning,Gastroenterologist,12,3.8,1051
234,Dr. Sneha Shinde,Pune,Food Poisoning,Gastroenterologist,17,4.7,894
235,Dr. Priya Kulkarni,Pune,Food Poisoning,Gastroenterologist,28,4.1,1162
236,Dr. Amit Deshmukh,Pune,Food Poisoning,Gastroenterologist,26,4.9,661
237,Dr. Pooja Sharma,Pune,Food Poisoning,Gastroenterologist,32,4.1,1423
238,Dr. Rahul Shinde,Pune,Food Poisoning,Gastroenterologist,7,3.6,1440
239,Dr. Sneha Patil,Pune,Food Poisoning,Gastroenterologist,20,4.9,777
240,Dr. Kiran Gupta,Pune,Food Poisoning,Gastroenterologist,20,4.1,1442
241,Dr. Kiran Joshi,Pune,Jaundice,Hepatologist,6,4.4,574
242,Dr. Rahul Jadhav,Pune,Jaundice,Hepatologist,5,4.7,784
243,Dr. Priya Patil,Pune,Jaundice,Hepatologist,31,3.9,724
244,Dr. Rahul Patil,Pune,Jaundice,Hepatologist,32,4.7,515
245,Dr. Anil Deshmukh,Pune,Jaundice,Hepatologist,33,4.5,1488
246,Dr. Rahul Joshi,Pune,Jaundice,Hepatologist,14,3.5,1419
247,Dr. Sneha Kulkarni,Pune,Jaundice,Hepatologist,12,4.4,788
248,Dr. Amit Joshi,Pune,Jaundice,Hepatologist,32,3.9,1297
249,Dr. Priya Patil,Pune,Jaundice,Hepatologist,12,5.0,912
250,Dr. Anil Deshmukh,Pune,Jaundice,Hepatologist,11,3.6,755
251,Dr. Sneha Shinde,Pune,Chickenpox,Dermatologist,11,3.9,1262
252,Dr. Rahul Joshi,Pune,Chickenpox,Dermatologist,28,4.4,1254
253,Dr. Vikas Patil,Pune,Chickenpox,Dermatologist,6,3.9,933
254,Dr. Anil Patil,Pune,Chickenpox,Dermatologist,8,3.9,1082
255,Dr. Priya Kulkarni,Pune,Chickenpox,Dermatologist,20,4.9,716
256,Dr. Kiran Jadhav,Pune,Chickenpox,Dermatologist,2,4.0,492
257,Dr. Anil Patil,Pune,Chickenpox,Dermatologist,10,3.6,1468
258,Dr. Sneha Deshmukh,Pune,Chickenpox,Dermatologist,19,3.9,546
259,Dr. Rahul Joshi,Pune,Chickenpox,Dermatologist,21,4.6,349
260,Dr. Rohit Deshmukh,Pune,Chickenpox,Dermatologist,32,3.5,429
261,Dr. Priya Kulkarni,Pune,Measles,Pediatrician,20,4.4,1446
262,Dr. Amit Jadhav,Pune,Measles,Pediatrician,25,4.8,1359
263,Dr. Vikas Gupta,Pune,Measles,Pediatrician,8,4.3,1033
264,Dr. Vikas Deshmukh,Pune,Measles,Pediatrician,4,4.1,417
265,Dr. Anil Gupta,Pune,Measles,Pediatrician,27,4.3,1093
266,Dr. Vikas Deshmukh,Pune,Measles,Pediatrician,19,4.7,286
267,Dr. Neha Shinde,Pune,Measles,Pediatrician,15,3.6,893
268,Dr. Amit Jadhav,Pune,Measles,Pediatrician,24,4.1,955
269,Dr. Rohit Shinde,Pune,Measles,Pediatrician,1,3.6,483
270,Dr. Vikas Shinde,Pune,Measles,Pediatrician,5,3.9,541
271,Dr. Vikas Jadhav,Pune,Arthritis,Orthopedic,29,3.8,511
272,Dr. Vikas Shinde,Pune,Arthritis,Orthopedic,12,3.8,252
273,Dr. Neha Jadhav,Pune,Arthritis,Orthopedic,12,4.3,1114
274,Dr. Vikas Jadhav,Pune,Arthritis,Orthopedic,13,4.0,266
275,Dr. Kiran Deshmukh,Pune,Arthritis,Orthopedic,27,4.5,849
276,Dr. Kiran Gupta,Pune,Arthritis,Orthopedic,9,4.1,1371
277,Dr. Amit Patil,Pune,Arthritis,Orthopedic,7,3.6,757
278,Dr. Sneha Patil,Pune,Arthritis,Orthopedic,31,5.0,916
279,Dr. Priya Jadhav,Pune,Arthritis,Orthopedic,10,3.9,942
280,Dr. Rohit Patil,Pune,Arthritis,Orthopedic,24,3.8,1118
281,Dr. Vikas Jadhav,Nagpur,Flu,General Physician,1,4.0,1352
282,Dr. Kiran Gupta,Nagpur,Flu,General Physician,34,4.7,1404
283,Dr. Priya Deshmukh,Nagpur,Flu,General Physician,4,3.6,695
284,Dr. Neha Patil,Nagpur,Flu,General Physician,22,5.0,402
285,Dr. Vikas Gupta,Nagpur,Flu,General Physician,18,4.2,315
286,Dr. Rohit Kulkarni,Nagpur,Flu,General Physician,23,4.0,400
287,Dr. Amit Sharma,Nagpur,Flu,General Physician,18,4.0,655
288,Dr. Amit Patil,Nagpur,Flu,General Physician,29,4.0,796
289,Dr. Kiran Gupta,Nagpur,Flu,General Physician,32,4.8,1305
290,Dr. Vikas Shinde,Nagpur,Flu,General Physician,21,4.8,699
291,Dr. Rahul Jadhav,Nagpur,Cold,General Physician,4,3.8,967
292,Dr. Kiran Gupta,Nagpur,Cold,General Physician,18,4.3,802
293,Dr. Neha Joshi,Nagpur,Cold,General Physician,33,5.0,630
294,Dr. Amit Gupta,Nagpur,Cold,General Physician,11,3.6,341
295,Dr. Priya Kulkarni,Nagpur,Cold,General Physician,3,4.7,708
296,Dr. Sneha Joshi,Nagpur,Cold,General Physician,33,4.4,1002
297,Dr. Sneha Deshmukh,Nagpur,Cold,General Physician,18,3.6,651
298,Dr. Pooja Shinde,Nagpur,Cold,General Physician,27,4.3,760
299,Dr. Kiran Deshmukh,Nagpur,Cold,General Physician,29,4.3,1363
300,Dr. Pooja Joshi,Nagpur,Cold,General Physician,33,4.2,235
301,Dr. Rohit Kulkarni,Nagpur,COVID-19,Pulmonologist,17,4.0,1319
302,Dr. Neha Deshmukh,Nagpur,COVID-19,Pulmonologist,12,3.6,203
303,Dr. Amit Sharma,Nagpur,COVID-19,Pulmonologist,24,4.0,736
304,Dr. Neha Kulkarni,Nagpur,COVID-19,Pulmonologist,34,3.5,656
305,Dr. Priya Jadhav,Nagpur,COVID-19,Pulmonologist,4,3.7,472
306,Dr. Rohit Patil,Nagpur,COVID-19,Pulmonologist,24,3.6,1258
307,Dr. Rahul Jadhav,Nagpur,COVID-19,Pulmonologist,35,4.4,1391
308,Dr. Anil Joshi,Nagpur,COVID-19,Pulmonologist,7,4.9,777
309,Dr. Sneha Patil,Nagpur,COVID-19,Pulmonologist,29,4.9,878
310,Dr. Rohit Joshi,Nagpur,COVID-19,Pulmonologist,3,4.2,730
311,Dr. Kiran Shinde,Nagpur,Malaria,Infectious Disease,6,3.8,745
312,Dr. Priya Deshmukh,Nagpur,Malaria,Infectious Disease,26,4.3,444
313,Dr. Anil Deshmukh,Nagpur,Malaria,Infectious Disease,26,3.6,927
314,Dr. Anil Sharma,Nagpur,Malaria,Infectious Disease,27,4.3,706
315,Dr. Rahul Jadhav,Nagpur,Malaria,Infectious Disease,5,4.0,991
316,Dr. Amit Gupta,Nagpur,Malaria,Infectious Disease,35,3.5,482
317,Dr. Kiran Kulkarni,Nagpur,Malaria,Infectious Disease,14,4.7,561
318,Dr. Anil Deshmukh,Nagpur,Malaria,Infectious Disease,10,4.3,469
319,Dr. Sneha Joshi,Nagpur,Malaria,Infectious Disease,25,4.4,407
320,Dr. Pooja Joshi,Nagpur,Malaria,Infectious Disease,26,4.3,1279
321,Dr. Sneha Joshi,Nagpur,Dengue,Infectious Disease,7,4.5,1078
322,Dr. Amit Deshmukh,Nagpur,Dengue,Infectious Disease,7,3.9,342
323,Dr. Vikas Gupta,Nagpur,Dengue,Infectious Disease,20,4.3,946
324,Dr. Neha Shinde,Nagpur,Dengue,Infectious Disease,28,3.7,725
325,Dr. Vikas Kulkarni,Nagpur,Dengue,Infectious Disease,13,4.1,765
326,Dr. Amit Sharma,Nagpur,Dengue,Infectious Disease,19,4.4,343
327,Dr. Rohit Shinde,Nagpur,Dengue,Infectious Disease,16,4.5,551
328,Dr. Amit Shinde,Nagpur,Dengue,Infectious Disease,33,3.5,615
329,Dr. Vikas Joshi,Nagpur,Dengue,Infectious Disease,2,4.9,675
330,Dr. Anil Shinde,Nagpur,Dengue,Infectious Disease,19,4.3,721
331,Dr. Vikas Deshmukh,Nagpur,Typhoid,General Physician,28,4.4,441
332,Dr. Neha Jadhav,Nagpur,Typhoid,General Physician,27,3.9,1079
333,Dr. Anil Shinde,Nagpur,Typhoid,General Physician,30,4.0,1219
334,Dr. Sneha Patil,Nagpur,Typhoid,General Physician,8,3.5,581
335,Dr. Rohit Jadhav,Nagpur,Typhoid,General Physician,34,3.6,337
336,Dr. Pooja Gupta,Nagpur,Typhoid,General Physician,2,4.7,816
337,Dr. Rahul Joshi,Nagpur,Typhoid,General Physician,10,3.6,1039
338,Dr. Rohit Deshmukh,Nagpur,Typhoid,General Physician,22,4.6,825
339,Dr. Neha Shinde,Nagpur,Typhoid,General Physician,1,4.3,368
340,Dr. Kiran Gupta,Nagpur,Typhoid,General Physician,6,4.2,1225
