disease,fever,cough,headache,fatigue,vomiting,chest_pain,sore_throat,breathlessness,nausea,dizziness,body_pain,diarrhea,skin_rash,itching,weight_loss,sweating
COVID-19,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0
Arthritis,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
Diabetes,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1
Measles,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Jaundice,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
COVID-19,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0
Food Poisoning,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
Migraine,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0
Dengue,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Food Poisoning,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0
Dengue,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1
Measles,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
Arthritis,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
Cold,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
Arthritis,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
Malaria,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
COVID-19,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Asthma,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Migraine,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Migraine,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
Malaria,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Diabetes,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
Asthma,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Dengue,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0
Jaundice,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0
Asthma,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0
Typhoid,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1
Migraine,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
Arthritis,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0
Diabetes,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0
Diabetes,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
Diabetes,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0
Migraine,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
Measles,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0
Malaria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Jaundice,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cold,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0
Flu,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Jaundice,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
Food Poisoning,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
Flu,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0
COVID-19,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0
Cold,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
COVID-19,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Diabetes,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1
Jaundice,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Dengue,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
Dengue,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
Chickenpox,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
Flu,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
Cold,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Cold,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
Cold,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
Asthma,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
Flu,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0
Flu,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Food Poisoning,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Arthritis,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Measles,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
Cold,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1
Cold,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
Migraine,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1
Malaria,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1
Diabetes,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
COVID-19,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Food Poisoning,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0
Migraine,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0
Typhoid,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0
Typhoid,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
Flu,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
Measles,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
Chickenpox,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
Food Poisoning,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1
Chickenpox,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Food Poisoning,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1
Chickenpox,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Diabetes,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0
COVID-19,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0
Jaundice,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0
Measles,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Migraine,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
Dengue,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0
Cold,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Arthritis,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1
Chickenpox,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Jaundice,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
Measles,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Measles,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chickenpox,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Malaria,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Flu,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0
Malaria,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
Typhoid,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1
COVID-19,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Flu,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
Chickenpox,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0
Dengue,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Chickenpox,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
Measles,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0
Migraine,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
Dengue,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Asthma,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
Migraine,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1
Dengue,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0
Malaria,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1
Arthritis,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
Flu,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0
Jaundice,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
Typhoid,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Chickenpox,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
Asthma,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1
Jaundice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Asthma,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
Jaundice,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0
COVID-19,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Cold,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0
Arthritis,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0
Diabetes,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
Asthma,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0
Typhoid,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1
Migraine,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
Chickenpox,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
Diabetes,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1
Diabetes,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Migraine,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Food Poisoning,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
Measles,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0
Jaundice,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0
Dengue,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Malaria,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0
Dengue,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
Cold,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Food Poisoning,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Dengue,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Dengue,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
Jaundice,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
Jaundice,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0
Dengue,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
Diabetes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Migraine,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1
Cold,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Dengue,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
Food Poisoning,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1
Chickenpox,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
Typhoid,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Malaria,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
COVID-19,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
Cold,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Diabetes,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
Diabetes,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
Flu,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
Food Poisoning,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1
Dengue,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
Typhoid,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0
Jaundice,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1
Cold,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
Malaria,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Malaria,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1
Flu,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0
Measles,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Asthma,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Arthritis,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
Dengue,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
Typhoid,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Food Poisoning,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0
COVID-19,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
Asthma,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
Migraine,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Chickenpox,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Diabetes,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Diabetes,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1
Malaria,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1
Typhoid,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1
Asthma,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
COVID-19,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Jaundice,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Migraine,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
Typhoid,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Flu,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
Typhoid,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0
Measles,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Flu,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
COVID-19,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1
Jaundice,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0
Typhoid,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
Diabetes,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Arthritis,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1
Migraine,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0
Food Poisoning,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
Chickenpox,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
Cold,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Cold,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Measles,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COVID-19,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
Measles,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Cold,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1
Food Poisoning,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0
Measles,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
Cold,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Jaundice,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1
Cold,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Asthma,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Malaria,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Migraine,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
Asthma,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
COVID-19,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
Flu,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Dengue,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Asthma,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
Typhoid,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
Jaundice,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
Migraine,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0
Malaria,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Food Poisoning,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Food Poisoning,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Food Poisoning,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Jaundice,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
Dengue,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
Measles,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
Dengue,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Typhoid,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Dengue,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0
COVID-19,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
COVID-19,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Malaria,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
Diabetes,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0
Migraine,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
Typhoid,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1
Jaundice,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1
Diabetes,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0
Arthritis,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
Diabetes,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Flu,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Jaundice,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1
Food Poisoning,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
Asthma,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
Flu,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0
Jaundice,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0
Measles,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Jaundice,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
Migraine,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Jaundice,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Migraine,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
Arthritis,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
Flu,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0
Chickenpox,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
Chickenpox,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0
COVID-19,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
Cold,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
Chickenpox,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Migraine,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
Dengue,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0
Arthritis,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1
Asthma,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0
Jaundice,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1
Asthma,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0
Diabetes,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Flu,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0
Arthritis,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
COVID-19,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
Dengue,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Migraine,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0
Food Poisoning,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
Arthritis,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0
Jaundice,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Jaundice,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Typhoid,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0
Chickenpox,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
Asthma,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
Diabetes,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
Cold,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Cold,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
COVID-19,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
Asthma,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Arthritis,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0
Food Poisoning,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Malaria,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COVID-19,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
Flu,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Cold,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0
Flu,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0
Typhoid,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Chickenpox,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
Diabetes,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
COVID-19,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0
Dengue,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
Malaria,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1
COVID-19,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
Flu,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
Chickenpox,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Diabetes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Dengue,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0
Measles,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
Flu,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Food Poisoning,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
Cold,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1
Dengue,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Measles,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Jaundice,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Jaundice,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Diabetes,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0
Malaria,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Flu,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
Dengue,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1
Jaundice,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
Asthma,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0
Migraine,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
Chickenpox,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
Malaria,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
Flu,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
Malaria,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
COVID-19,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0
Malaria,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1
Flu,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
Jaundice,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Asthma,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Flu,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1
Flu,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
Arthritis,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Chickenpox,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Dengue,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Cold,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Chickenpox,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Measles,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
Cold,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Dengue,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
